ID,Name,Credit,Category
184,Jerry,7820,Travel
185,Jack,1570,Bills
186,Smith,9769,Grocery
187,Doe,5763,Travel
188,Sarah,6044,Grocery
189,Jane,8400,Bills
190,Kim,2208,Entertainment
191,Han,9165,Entertainment
192,Doe,5699,Entertainment
193,Han,5246,Bills
194,Smith,3044,Luxury
195,Tom,802,Travel
196,Jung,2348,Travel
197,Jane,7899,Bills
198,Choi,7910,Travel
199,John,9139,Grocery
200,Jerry,9134,Entertainment
201,Jerry,4672,Entertainment
202,David,3884,Luxury
203,Doe,3693,Entertainment
204,Han,9153,Entertainment
205,John,9252,Entertainment
206,Han,3720,Luxury
207,John,7453,Entertainment
208,Jerry,952,Bills
209,John,1834,Travel
210,Brown,7732,Luxury
211,Smith,7160,Luxury
212,Jane,4779,Luxury
213,Park,4695,Grocery
214,Sarah,6043,Luxury
215,Jack,8260,Travel
216,Han,672,Grocery
217,Kim,1492,Travel
218,Jane,5397,Travel
219,Tom,5602,Entertainment
220,Han,6888,Luxury
221,Brown,800,Travel
222,David,770,Travel
223,Kang,3343,Bills
224,Kang,6732,Entertainment
225,Brown,8446,Travel
226,Park,9599,Grocery
227,Kim,1928,Bills
228,David,7505,Entertainment
229,John,8647,Luxury
230,David,8634,Luxury
231,Brown,1052,Entertainment
232,Park,6164,Luxury
233,Kim,3575,Entertainment
234,Kim,5569,Bills
235,Doe,3690,Travel
236,Smith,1604,Travel
237,Smith,5830,Luxury
238,Jane,6912,Travel
239,Tom,8048,Bills
240,Sarah,5041,Entertainment
241,David,2131,Luxury
242,Jung,594,Travel
243,Tom,718,Entertainment
244,Park,7938,Travel
245,Park,9320,Luxury
246,Sarah,5487,Entertainment
247,Kim,4080,Bills
248,Doe,7260,Luxury
249,Kim,7039,Grocery
250,Jack,9899,Luxury
251,Park,7203,Grocery
252,David,8706,Travel
253,Kim,1840,Grocery
254,Jane,7529,Entertainment
255,Tom,2179,Travel
256,John,1818,Grocery
257,Jane,2121,Travel
258,Doe,6074,Bills
259,Smith,1725,Bills
260,Jane,1892,Entertainment
261,Smith,3669,Luxury
262,Tom,3806,Bills
263,Choi,6335,Luxury
264,Sarah,1210,Grocery
265,Smith,9768,Travel
266,Smith,9807,Travel
267,Smith,9229,Luxury
268,Jung,1756,Luxury
269,Choi,8445,Entertainment
270,Tom,4762,Luxury
271,John,2198,Bills
272,Brown,1995,Entertainment
273,John,3031,Luxury
274,Park,5800,Bills
275,Doe,4425,Luxury
276,Doe,9752,Luxury
277,Sarah,5317,Entertainment
278,John,3566,Luxury
279,Jerry,3449,Luxury
280,Jack,3671,Bills
281,Brown,5116,Bills
282,Smith,1381,Travel
283,Han,4306,Entertainment
284,Smith,6045,Travel
285,Tom,9689,Grocery
286,Jane,5875,Entertainment
287,Tom,9870,Grocery
288,Han,1086,Bills
289,Jerry,2648,Grocery
290,Jack,8499,Luxury
291,John,8627,Entertainment
292,Jerry,2468,Grocery
293,Jack,5111,Travel
294,Smith,7258,Luxury
295,Choi,5204,Entertainment
296,Jane,6686,Luxury
297,Park,3291,Luxury
298,Sarah,9968,Luxury
299,Doe,3575,Entertainment
300,Choi,2381,Luxury
301,Jane,7642,Entertainment
302,Park,6993,Grocery
303,Brown,771,Luxury
304,Doe,2870,Grocery
305,Jane,2211,Travel
306,Smith,1183,Luxury
307,Kang,6261,Entertainment
308,Jack,2401,Entertainment
309,Han,1989,Bills
310,Kim,3644,Bills
311,Jerry,6958,Luxury
312,Kim,6073,Travel
313,Jerry,4962,Bills
314,Sarah,1536,Travel
315,Kang,5484,Entertainment
316,Jung,7512,Entertainment
317,Han,5769,Grocery
318,Smith,1533,Entertainment
319,Park,4364,Travel
320,David,9126,Entertainment
321,David,232,Grocery
322,Park,6007,Entertainment
323,Choi,2961,Bills
324,Park,6343,Grocery
325,John,1425,Grocery
326,David,7671,Travel
327,Jung,3018,Bills
328,Kim,7113,Entertainment
329,David,1421,Bills
330,Jerry,3701,Grocery
331,Kim,6413,Grocery
332,Han,1357,Travel
333,Jerry,425,Luxury
334,Park,8965,Grocery
335,Kang,4348,Travel
336,Tom,7453,Bills
337,Jane,5607,Luxury
338,Kim,2905,Travel
339,Kim,3974,Entertainment
340,Doe,7725,Bills
341,Jerry,7513,Grocery
342,Jung,2600,Grocery
343,Choi,3261,Luxury
344,Smith,4874,Bills
345,Jack,9478,Entertainment
346,Jerry,5833,Entertainment
347,David,600,Entertainment
348,Han,2256,Bills
349,Han,1823,Grocery
350,Jack,6179,Travel
351,Kim,2443,Travel
352,Jane,6351,Bills
353,Doe,7504,Bills
354,John,8634,Bills
355,Doe,6015,Entertainment
356,Sarah,5568,Travel
357,Han,8437,Travel
358,Choi,1858,Grocery
359,Sarah,6952,Bills
360,Smith,8551,Bills
361,Sarah,6538,Luxury
362,Smith,3978,Grocery
363,Han,2077,Bills
364,Brown,4318,Luxury
365,Choi,1276,Travel
366,Kim,4838,Travel
367,Jerry,6992,Luxury
368,Kim,8143,Travel
369,Park,3004,Travel
370,Tom,2758,Luxury
371,Jerry,2803,Luxury
372,John,1596,Bills
373,Han,8998,Travel
374,Kang,536,Bills
375,Kang,324,Luxury
376,Jung,2973,Travel
377,Jung,1218,Grocery
378,Jack,6974,Travel
379,Sarah,1433,Entertainment
380,Doe,1234,Travel
381,Han,4902,Travel
382,Park,9991,Entertainment
383,Brown,3196,Travel
384,David,150,Entertainment
385,Smith,2562,Travel
386,Han,4052,Entertainment
387,Kim,9041,Entertainment
388,Kim,8994,Entertainment
389,Jack,169,Travel
390,Jung,6289,Luxury
391,Jung,1734,Entertainment
392,Han,5138,Grocery
393,Han,3163,Bills
394,Jerry,9203,Bills
395,Park,2365,Bills
396,John,8531,Entertainment
397,John,1746,Bills
398,Jung,5502,Luxury
399,Park,3800,Entertainment
400,Brown,1577,Entertainment
401,Kim,8967,Luxury
402,David,8654,Entertainment
403,Doe,2311,Travel
404,Smith,7525,Bills
405,Smith,1540,Luxury
406,Tom,6441,Luxury
407,Kim,6625,Travel
408,John,6744,Luxury
409,Park,2818,Entertainment
410,Jack,8443,Bills
411,Choi,6105,Luxury
412,Sarah,7038,Travel
413,Smith,1658,Entertainment
414,Sarah,5019,Grocery
415,Sarah,4923,Grocery
416,Choi,6220,Grocery
417,Doe,8942,Entertainment
418,Jane,9278,Bills
419,Tom,8952,Luxury
420,Park,8284,Bills
421,Sarah,9724,Travel
422,Jane,4445,Grocery
423,Jane,3722,Grocery
424,Sarah,7805,Travel
425,Park,7610,Luxury
426,Jung,1311,Entertainment
427,Kim,42,Entertainment
428,Brown,9186,Entertainment
429,Smith,8369,Travel
430,Jerry,4800,Grocery
431,David,1077,Entertainment
432,Jerry,591,Luxury
433,Smith,3377,Grocery
434,Han,9270,Entertainment
435,Jerry,3497,Luxury
436,Han,7921,Grocery
437,Jack,9618,Entertainment
438,Choi,488,Grocery
439,Tom,3686,Luxury
440,Choi,940,Entertainment
441,Sarah,7333,Entertainment
442,Brown,5163,Luxury
443,Tom,6542,Bills
444,David,4936,Luxury
445,Jerry,6400,Bills
446,David,4072,Luxury
447,Jerry,4416,Entertainment
448,Jerry,1458,Travel
449,Han,1907,Travel
450,Jane,1300,Luxury
451,Choi,6090,Grocery
452,Kim,487,Travel
453,Kim,986,Travel
454,Kim,126,Grocery
455,Tom,8786,Entertainment
456,John,356,Luxury
457,Kang,9000,Bills
458,Smith,2664,Grocery
459,Tom,8161,Bills
460,Jack,114,Bills
461,Sarah,7783,Entertainment
462,Jung,9405,Grocery
463,Choi,2378,Bills
464,Han,7062,Grocery
465,Jerry,8424,Entertainment
466,Han,2548,Bills
467,Kim,9085,Entertainment
468,Jung,7721,Grocery
469,Jung,2246,Entertainment
470,Kim,7065,Grocery
471,Smith,6276,Travel
472,Smith,7364,Bills
473,Doe,322,Luxury
474,Sarah,7492,Entertainment
475,Park,291,Grocery
476,Doe,1767,Travel
477,Choi,4447,Grocery
478,Jack,5840,Travel
479,Brown,1803,Entertainment
480,Doe,9915,Travel
481,Kang,1369,Bills
482,Jane,297,Travel
483,John,4015,Bills
484,Tom,1051,Travel
485,Han,1789,Entertainment
486,Sarah,3421,Luxury
487,Jack,1787,Travel
488,Jane,9243,Grocery
489,John,3041,Luxury
490,Brown,8802,Luxury
491,Sarah,4444,Entertainment
492,Han,6378,Entertainment
493,Sarah,8956,Entertainment
494,Jack,5302,Luxury
495,David,883,Entertainment
496,Smith,4719,Grocery
497,Park,9275,Luxury
498,Doe,2827,Luxury
499,John,9379,Travel
500,Brown,2537,Luxury
501,Brown,1476,Luxury
502,Brown,4544,Travel
503,Brown,5125,Entertainment
504,Kim,49,Bills
505,Sarah,7872,Bills
506,Doe,5840,Entertainment
507,Choi,5010,Luxury
508,Jack,6975,Luxury
509,Sarah,362,Travel
510,Kang,9610,Entertainment
511,Doe,9304,Entertainment
512,David,3326,Bills
513,John,370,Luxury
514,Jane,7456,Entertainment
515,Kang,7831,Luxury
516,Choi,4005,Entertainment
517,Park,3639,Entertainment
518,Sarah,8323,Entertainment
519,Jerry,5033,Travel
520,Kang,2700,Luxury
521,Jerry,9843,Grocery
522,Brown,8801,Luxury
523,Choi,8320,Bills
524,Jack,1130,Entertainment
525,Brown,3030,Travel
526,Tom,1206,Entertainment
527,Jane,7401,Entertainment
528,Sarah,4227,Entertainment
529,David,4263,Travel
530,Jane,3102,Entertainment
531,Smith,2851,Travel
532,Kim,7834,Travel
533,Jack,8433,Entertainment
534,David,9141,Entertainment
535,Brown,9061,Luxury
536,Doe,8306,Bills
537,Jung,9354,Luxury
538,Park,9855,Bills
539,Choi,3366,Luxury
540,Han,9619,Grocery
541,Jack,5565,Entertainment
542,Han,2273,Travel
543,Jung,9722,Entertainment
544,Han,2572,Travel
545,Smith,7692,Grocery
546,John,6739,Entertainment
547,Sarah,1480,Grocery
548,Sarah,3520,Luxury
549,Kim,4854,Travel
550,Tom,9609,Grocery
551,Doe,5862,Grocery
552,Smith,4953,Entertainment
553,David,6253,Bills
554,Smith,3316,Travel
555,Smith,1610,Bills
556,Choi,4177,Travel
557,Jane,1596,Luxury
558,Kim,5353,Grocery
559,Brown,5420,Grocery
560,John,4929,Bills
561,Han,7034,Travel
562,Brown,9872,Grocery
563,Kim,277,Entertainment
564,Kang,2686,Travel
565,Choi,8206,Bills
566,Tom,5170,Entertainment
567,John,3455,Entertainment
568,Jane,9562,Luxury
569,Smith,2095,Grocery
570,Jung,2238,Bills
571,Jung,6344,Luxury
572,Jane,822,Travel
573,Sarah,3067,Bills
574,Jack,5481,Travel
575,Smith,4405,Grocery
576,Kang,9392,Entertainment
577,Jane,414,Travel
578,Jack,2745,Bills
579,John,1570,Travel
580,Jung,3012,Travel
581,Kim,6893,Entertainment
582,Jung,3945,Luxury
583,Jung,8507,Entertainment
584,Brown,171,Grocery
585,Kang,1795,Entertainment
586,Doe,3289,Travel
587,Kim,1895,Grocery
588,Kang,1462,Grocery
589,Doe,4316,Bills
590,Jerry,2290,Travel
591,Tom,1111,Luxury
592,Tom,3644,Grocery
593,David,5193,Travel
594,John,8853,Travel
595,Tom,596,Bills
596,Park,2355,Travel
597,Jung,4858,Bills
598,Park,2354,Luxury
599,Tom,1875,Travel
600,John,7022,Luxury
601,Choi,728,Bills
602,Smith,4045,Bills
603,Brown,4846,Luxury
604,Choi,2928,Bills
605,Doe,4570,Entertainment
606,Jerry,7803,Travel
607,Jerry,8806,Grocery
608,Jerry,8470,Grocery
609,Smith,2402,Luxury
610,Jerry,9838,Grocery
611,Tom,7947,Bills
612,Han,2294,Travel
613,Jung,5519,Entertainment
614,Han,3063,Travel
615,Park,2843,Entertainment
616,Jack,1396,Luxury
617,David,636,Travel
618,Smith,7133,Grocery
619,Kim,4989,Grocery
620,Kim,9107,Luxury
621,Jack,1556,Bills
622,Smith,3861,Grocery
623,Park,7725,Entertainment
624,Smith,2566,Entertainment
625,Brown,3700,Travel
626,John,115,Entertainment
627,David,9866,Travel
628,David,9343,Entertainment
629,Sarah,5592,Entertainment
630,Tom,895,Entertainment
631,Jane,7118,Travel
632,Smith,1389,Entertainment
633,Jack,8588,Entertainment
634,Sarah,5087,Bills
635,Kim,7899,Grocery
636,John,29,Grocery
637,Smith,8623,Luxury
638,Tom,396,Entertainment
639,Jane,5651,Entertainment
640,Tom,2434,Bills
641,Kang,2414,Bills
642,John,8139,Bills
643,Han,8388,Grocery
644,Jack,7849,Entertainment
645,David,6949,Entertainment
646,John,3462,Travel
647,Jerry,5621,Grocery
648,Jung,5197,Travel
649,Jack,5365,Grocery
650,Sarah,8774,Bills
651,Jung,6178,Grocery
652,Park,9361,Luxury
653,Jung,7750,Luxury
654,John,9784,Entertainment
655,Kim,4263,Luxury
656,Choi,3013,Entertainment
657,Tom,437,Luxury
658,David,335,Luxury
659,Brown,3320,Grocery
660,Sarah,5269,Entertainment
661,Brown,7233,Luxury
662,Choi,5905,Travel
663,Smith,3841,Bills
664,Brown,6643,Bills
665,Sarah,5181,Entertainment
666,Kim,1523,Travel
667,Sarah,8508,Entertainment
668,Kang,1251,Grocery
669,Jung,3598,Grocery
670,Jane,4592,Travel
671,Jack,6481,Grocery
672,Choi,8118,Grocery
673,Kang,3006,Entertainment
674,Sarah,8976,Grocery
675,David,584,Grocery
676,Jack,2971,Bills
677,Doe,618,Travel
678,Park,8492,Bills
679,Tom,1963,Grocery
680,Tom,4155,Entertainment
681,Kim,8073,Bills
682,Choi,1289,Luxury
683,Brown,5467,Bills
684,Kang,6440,Entertainment
685,John,6476,Grocery
686,Jung,4145,Luxury
687,Jerry,7834,Grocery
688,Tom,9937,Bills
689,Han,5794,Entertainment
690,Han,8936,Travel
691,Jack,1330,Bills
692,Tom,4018,Grocery
693,Jerry,5747,Grocery
694,Sarah,6298,Luxury
695,Jung,4860,Entertainment
696,Brown,1702,Entertainment
697,Jung,6006,Bills
698,Brown,9690,Luxury
699,Jerry,8169,Entertainment
700,Kim,3416,Bills
701,Kang,4853,Grocery
702,David,258,Grocery
703,Choi,4417,Grocery
704,Jack,6691,Grocery
705,John,7260,Travel
706,Tom,5143,Entertainment
707,Han,5704,Grocery
708,Smith,347,Luxury
709,Sarah,3466,Luxury
710,Jack,5433,Entertainment
711,Doe,9299,Luxury
712,Doe,4664,Luxury
713,Brown,6689,Entertainment
714,John,1896,Entertainment
715,Jung,1558,Luxury
716,Kang,3917,Grocery
717,Jung,2666,Travel
718,Jung,2975,Entertainment
719,Kim,3027,Bills
720,John,5679,Bills
721,Jane,7053,Luxury
722,Brown,4789,Bills
723,Han,7536,Entertainment
724,Smith,3482,Luxury
725,Han,7295,Bills
726,Choi,3098,Travel
727,Brown,7144,Travel
728,David,2906,Grocery
729,Smith,9778,Grocery
730,Smith,6525,Travel
731,Sarah,9579,Travel
732,Smith,9216,Travel
733,David,8966,Grocery
734,Jane,1898,Luxury
735,Tom,5465,Entertainment
736,David,3146,Travel
737,Smith,2720,Bills
738,Kim,7990,Bills
739,Jung,2900,Grocery
740,Han,2411,Grocery
741,David,1364,Bills
742,Kang,5694,Grocery
743,Brown,3418,Entertainment
744,Jane,2511,Grocery
745,Jack,7841,Luxury
746,Park,2234,Travel
747,Kim,7525,Grocery
748,Jack,57,Travel
749,David,4327,Entertainment
750,David,5229,Grocery
751,Kang,8650,Bills
752,Han,4209,Bills
753,Choi,5071,Travel
754,Choi,568,Bills
755,Smith,4235,Bills
756,Smith,4611,Luxury
757,Choi,1378,Bills
758,Park,9935,Grocery
759,Tom,8479,Entertainment
760,Kim,4120,Grocery
761,Doe,7687,Bills
762,David,8514,Bills
763,Smith,5724,Grocery
764,Park,7183,Grocery
765,Doe,9221,Bills
766,Jane,7688,Entertainment
767,Kim,8069,Entertainment
768,Tom,5001,Travel
769,John,3533,Entertainment
770,Choi,534,Travel
771,Jack,7418,Bills
772,David,670,Bills
773,John,1573,Luxury
774,Han,5708,Grocery
775,Kim,8796,Entertainment
776,John,6947,Luxury
777,John,4003,Travel
778,Jack,4258,Grocery
779,Park,2943,Travel
780,Sarah,3581,Travel
781,Jack,4173,Bills
782,Jung,7385,Grocery
783,Park,9342,Travel
784,Kang,551,Entertainment
785,Tom,9329,Luxury
786,Han,9043,Entertainment
787,Kang,1194,Entertainment
788,Kim,5236,Luxury
789,Han,8946,Bills
790,John,4855,Entertainment
791,Sarah,3630,Grocery
792,Doe,7291,Bills
793,Doe,6512,Travel
794,Jane,5659,Travel
795,Han,1494,Grocery
796,Han,3730,Entertainment
797,Smith,3867,Entertainment
798,David,2105,Bills
799,Jung,4416,Grocery
800,John,7993,Bills
801,Jack,1139,Travel
802,Park,2535,Entertainment
803,Sarah,3156,Entertainment
804,Kang,1901,Entertainment
805,Jung,2851,Travel
806,Kim,559,Entertainment
807,Jung,8801,Entertainment
808,Han,308,Bills
809,Tom,6335,Grocery
810,Jerry,1680,Travel
811,Smith,1366,Bills
812,Kang,6955,Bills
813,Tom,6406,Grocery
814,Kim,3704,Luxury
815,Smith,1399,Grocery
816,Choi,3034,Bills
817,Jung,4700,Grocery
818,Jung,181,Entertainment
819,Sarah,6412,Travel
820,Sarah,9708,Entertainment
821,Jung,8711,Entertainment
822,Tom,1847,Bills
823,Brown,3902,Travel
824,Jane,6424,Bills
825,Tom,4081,Luxury
826,Choi,2985,Entertainment
827,Choi,6312,Entertainment
828,Sarah,1229,Luxury
829,Jane,4262,Luxury
830,Kang,9981,Travel
831,Jack,3095,Grocery
832,Sarah,9746,Grocery
833,Jane,2573,Luxury
834,Kang,1076,Luxury
835,Sarah,2203,Travel
836,Doe,6159,Bills
837,Kang,5727,Luxury
838,Sarah,2780,Travel
839,John,7050,Bills
840,Park,3167,Bills
841,Jerry,955,Bills
842,Jack,509,Travel
843,John,3139,Entertainment
844,Doe,4677,Grocery
845,Sarah,5624,Luxury
846,Doe,604,Bills
847,Han,9604,Entertainment
848,David,2690,Travel
849,Kang,6811,Entertainment
850,Brown,2311,Grocery
851,John,4581,Bills
852,Kang,7987,Grocery
853,Tom,2305,Bills
854,Kim,8757,Bills
855,Han,188,Luxury
856,Kim,5782,Grocery
857,John,7759,Luxury
858,Jack,1367,Bills
859,Kim,6452,Grocery
860,Jane,3052,Luxury
861,Park,7057,Bills
862,Park,5671,Entertainment
863,Park,9768,Entertainment
864,Sarah,799,Luxury
865,Jung,8688,Luxury
866,Jerry,6806,Luxury
867,David,5232,Luxury
868,Doe,4834,Entertainment
869,Park,6918,Luxury
870,Sarah,9188,Grocery
871,Choi,6849,Travel
872,Jerry,9172,Grocery
873,Jerry,309,Travel
874,Smith,9999,Entertainment
875,Jung,2987,Travel
876,Smith,9836,Travel
877,Kang,7267,Luxury
878,Kim,4765,Luxury
879,Jack,1984,Travel
880,Jerry,6028,Travel
881,Jane,1853,Entertainment
882,Brown,1410,Luxury
883,Park,3279,Luxury
884,Han,5348,Bills
885,John,2911,Grocery
886,John,2216,Grocery
887,Smith,5063,Grocery
888,Kim,4718,Grocery
889,Park,331,Travel
890,Kim,1046,Travel
891,Sarah,335,Travel
892,Han,7557,Luxury
893,Jerry,7938,Grocery
894,Jung,595,Travel
895,Brown,5160,Grocery
896,Han,6257,Entertainment
897,Han,92,Travel
898,Choi,7369,Entertainment
899,Han,3359,Bills
900,Jung,9998,Entertainment
901,Kim,4178,Travel
902,Kang,4983,Luxury
903,Brown,8461,Luxury
904,Brown,4936,Luxury
905,Kim,3952,Grocery
906,Choi,4176,Luxury
907,Smith,6688,Travel
908,Park,7135,Grocery
909,John,2142,Travel
910,Tom,9689,Entertainment
911,Han,1017,Entertainment
912,Han,8678,Grocery
913,Kang,4545,Grocery
914,Jane,6380,Entertainment
915,Doe,1633,Entertainment
916,Jung,6058,Grocery
917,Jerry,9460,Entertainment
918,Doe,3581,Bills
919,Jack,3293,Luxury
920,Han,9833,Entertainment
921,Tom,7969,Entertainment
922,Choi,620,Entertainment
923,Brown,4125,Travel
924,Doe,2755,Grocery
925,Smith,1842,Entertainment
926,Jung,3424,Entertainment
927,Brown,7471,Entertainment
928,Jung,4711,Entertainment
929,Jerry,1299,Luxury
930,Jack,3275,Entertainment
931,Jack,1720,Bills
932,Tom,9696,Entertainment
933,John,1741,Grocery
934,Kang,2660,Bills
935,John,429,Travel
936,Park,2271,Grocery
937,Kang,5050,Grocery
938,John,9210,Luxury
939,Jerry,4522,Entertainment
940,Han,6359,Grocery
941,Jerry,4735,Bills
942,Tom,6264,Grocery
943,Tom,4277,Luxury
944,Jane,8299,Entertainment
945,Choi,8646,Luxury
946,Smith,96,Entertainment
947,Kang,1354,Bills
948,Smith,312,Travel
949,Smith,8109,Travel
950,Brown,6508,Luxury
951,Kang,864,Bills
952,Kang,1317,Travel
953,Han,6844,Travel
954,Kim,5516,Grocery
955,David,5824,Bills
956,David,5775,Bills
957,John,3032,Luxury
958,Brown,7063,Luxury
959,Choi,9995,Grocery
960,Smith,3345,Entertainment
961,David,7454,Grocery
962,Jane,787,Entertainment
963,Jerry,1980,Grocery
964,Han,3403,Entertainment
965,Park,2419,Luxury
966,Doe,491,Travel
967,Smith,4328,Grocery
968,Jung,9028,Grocery
969,John,9699,Grocery
970,Brown,6252,Luxury
971,Doe,1674,Entertainment
972,Park,5527,Luxury
973,Smith,6029,Entertainment
974,Jack,2980,Grocery
975,Sarah,31,Grocery
976,David,9498,Luxury
977,Tom,3416,Bills
978,Park,7795,Bills
979,Brown,7847,Entertainment
980,Smith,2593,Bills
981,Park,4365,Bills
982,Smith,2317,Bills
983,Brown,3539,Luxury
984,Brown,3443,Travel
985,Choi,6631,Entertainment
986,Kim,6498,Luxury
987,Park,6542,Bills
988,Jane,6291,Bills
989,John,4948,Travel
990,Jane,2608,Bills
991,Han,8894,Bills
992,Kim,9239,Bills
993,Kang,985,Luxury
994,Jane,442,Bills
995,Jane,8938,Grocery
996,Jack,930,Luxury
997,John,9857,Travel
998,Sarah,7747,Travel
999,Sarah,2644,Entertainment
1000,Jane,2967,Luxury
1001,Choi,7997,Luxury
1002,Brown,9044,Entertainment
1003,Doe,3362,Bills
1004,David,2094,Bills
1005,Park,5789,Entertainment
1006,Jack,7956,Bills
1007,John,5444,Travel
1008,Doe,6315,Travel
1009,Choi,9871,Bills
1010,Han,6412,Bills
1011,Brown,5781,Entertainment
1012,Jane,7328,Bills
1013,Park,359,Entertainment
1014,Kang,8154,Luxury
1015,John,6856,Grocery
1016,Doe,2692,Grocery
1017,Jerry,709,Bills
1018,Tom,9460,Bills
1019,Brown,519,Luxury
1020,Jack,3052,Travel
1021,Smith,5951,Grocery
1022,Doe,1856,Luxury
1023,Smith,6821,Travel
1024,Kang,7273,Bills
1025,Park,8579,Travel
1026,Kang,5873,Bills
1027,Park,2605,Bills
1028,Kim,2780,Travel
1029,Jack,6379,Travel
1030,Jane,4556,Bills
1031,Jung,1997,Luxury
1032,Sarah,3724,Travel
1033,Han,4011,Grocery
1034,David,7439,Bills
